,pfa,h_est_c,h_est_n,cr,br
0,0.0,4.247927513443586,3.423766335194136,10,2
1,0.0001,4.377209835209516,3.717237684814995,10,2
2,0.0002,4.494847704972667,3.938686347549817,10,2
3,0.00030000000000000003,4.606210600776465,4.129927743402359,10,2
4,0.0004,4.711918749954743,4.300574143106199,10,2
5,0.0005,4.812420016411569,4.455445836362886,10,2
6,0.0006000000000000001,4.908098328995701,4.597519191392411,10,2
7,0.0007,4.999296325772358,4.728844685459449,10,2
8,0.0008,5.086323776291177,4.850934404552683,10,2
9,0.0009000000000000001,5.16946227637704,4.964956177586236,10,2
10,0.001,5.2489686012560774,5.071842488880552,10,2
11,0.002,5.8874809644874055,5.8707845974393695,10,2
12,0.003,6.332382304378044,6.379954510213709,10,2
13,0.004,6.6599509229031435,6.735163097114791,10,2
14,0.005,6.910669593386587,6.996877931218206,10,2
15,0.006,7.108147553671822,7.197125111238717,10,2
16,0.007,7.26716136868459,7.354696303846608,10,2
17,0.008,7.397474353468045,7.481423619656154,10,2
18,0.009000000000000001,7.505817299953266,7.585156462841985,10,2
19,0.01,7.5969905242422655,7.671316657492769,10,2
20,0.011,7.674513277711702,7.743771790621471,10,2
21,0.012,7.74102508876695,7.805354350783895,10,2
22,0.013000000000000001,7.798543891360191,7.858184829400193,10,2
23,0.014,7.848637737371837,7.903880583650123,10,2
24,0.015,7.892542349428631,7.943695212149715,10,2
25,0.016,7.931243601139572,7.978614106572764,10,2
26,0.017,7.9655366313174785,8.009421497002851,10,2
27,0.018000000000000002,7.996069001762404,8.036748453856921,10,2
28,0.019,8.02337272030271,8.061107869271982,10,2
29,0.02,8.047888344560393,8.082920352691357,10,2
